,index,Date,headline,Positive,Negative,Neutral,Score
0,0,2023-03-27,"- CFTC sues Binance because ETH is a commodity 
- SEC sues Kraken because ETH is a security

Correct?",0.03390566632151604,0.4038403034210205,0.562254011631012,1.5751633900248145
1,1,2023-03-27,"Ticketmaster just rolled out token-gated NFT integration.

It’s a big deal.

Here’s how it works

↓",0.05292469635605812,0.01614254154264927,0.9309327602386475,2.5919553872048025
2,2,2023-03-26,"pov: @frankdegods is coming to eth.

(bridge announcement) https://t.co/qapGSgXEjt",0.04721516743302345,0.017244864255189896,0.935539960861206,2.5749257585028245
3,3,2023-03-24,"You don't need to have ETH to make money in NFTs.

I made over 20 ETH in just two months with zero investment.

Here's how I did it: 🧵👇 https://t.co/iGWVNFnZgN",0.0464252233505249,0.024607118219137192,0.9289677143096924,2.5545452597805154
4,4,2023-03-24,"Money Glitch:

How to earn 0.1 ETH per day leveraging Blur's liquidity fluctuations 🧵👇

(1/20) https://t.co/FUk6dB7WC4",0.06320179998874664,0.04754922166466713,0.8892489075660706,2.5391314485799428
5,5,2023-03-23,"Ethereum co-founder Vitalik Buterin has issued an official statement clarifying that ether, the cryptocurrency of the Ethereum network, is not a security.",0.039407920092344284,0.0514708012342453,0.9091212153434753,2.469842795235394
6,6,2023-03-23,"THE IRON ERA IS HERE 
April 3rd, 5pm EST
.15 ETH https://t.co/QhBQELl4gj",0.03041023202240467,0.03531581163406372,0.9342740178108215,2.487736051724684
7,7,2023-03-22,2023 Price chart! #BITCOIN #ETHEREUM #DOGECOIN #BNB #CARDANO #XRP #MATIC #POLKADOT #SHIB #TRX #LITECOIN #AVAX #UNISWAP #CHAINLINK #COSMOS #ETC #MONERO $BTC $ETH $DOGE $BNB $ADA $XRP $MATIC $DOT $SHIB $TRX $LTC $AVAX $UNI $LINK $ATOM $ETC $XMR #HEX $HEX - https://t.co/mLZsmWIz4A https://t.co/bZzmoguRZk,0.05829005688428879,0.023860955610871315,0.9178489446640015,2.5860727568709727
8,8,2023-03-18,"Yes you’d rather have kept that serial winner Ole! 
Then you wanted Poch not ETH, I told you ETH was the better choice but you wouldn’t listen 🤷‍♂️",0.08381684124469757,0.0733693316578865,0.8428138494491577,2.5261187733832275
9,9,2023-03-18,Crypto people that root against Bitcoin don’t understand money. Bitcoin people that root against Ethereum don’t understand tech.,0.02641252987086773,0.299347847700119,0.6742395758628845,1.8176616736530173
10,10,2023-03-18,"@jdcmedlock Yes. Just moving money for the bet. We can do it via smart contract, but for simplicity old-fashioned escrow may work.

The escrow person would need one BTC address and one ETH address (for the USDC). The assets would sit on chain for 90 days.

If BTC &lt; $1M in 90 days after…",0.03558995574712753,0.01930806413292885,0.9451019763946533,2.5407047291871336
11,11,2023-03-17,"WHAT A TRADE! WITH THE MAN HIMSELF @IcedcoffeeEth 

143 eth + Patek + Rolex Sprite

for

Spirit triple emblem cowboy! 

LFG! https://t.co/fxINi1JAq6",0.07174335420131683,0.018324170261621475,0.9099324345588684,2.633547965321793
12,12,2023-03-16,"If you didn't sell BAYC at 150 ETH..
If you didn't sell MAYC at 38 ETH..
If you didn't sell Moonbirds at 40 ETH..
If you didn't sell Doodles at 20 ETH..
If you didn't sell Cool Cats at 15 ETH..
If you didn't sell VeeFriends at 20 ETH..

You aren't diamond handing.

You're dumb.",0.028631705790758133,0.3105306923389435,0.6608376502990723,1.7952525677595907
13,13,2023-03-16,"Exciting news! We now accept payments in ETH! 🎉 Eth whales, you're officially welcome here 🐋💰 https://t.co/X9uLjmq2FM",0.6408910155296326,0.010747812688350677,0.34836113452911377,4.075358065789866
14,14,2023-03-16,"In a month's time, we will have a fully digitally native currency (ETH) with a 4% to 5% yield in its local currency terms, and a deflationary monetary policy, along with a liquid money market curve out to 12 months and is inversely correlated to the central bank balance sheets",0.16852496564388275,0.08041424304246902,0.7510608434677124,2.720276795015204
15,15,2023-03-16,"When we get to ETH, I want to buy a Bored Ape, an Azuki &amp; a CryptoPunk.

Looking to get the best deals on some fire ones.

Also anything else I should pick up? I already have Pudgies, Checks/Opepens, and Seals.",0.054535817354917526,0.022708531469106674,0.9227555990219116,2.579568218864333
16,16,2023-03-15,You know what would be really decentralized. Another #ethereum. You could call it https://t.co/hOKEsU8srt (testnet v3 coming soon.),0.03291628882288933,0.0203341543674469,0.9467495083808899,2.5314553376619493
17,17,2023-03-15,"While the US banking system was seizing up in response to bank runs threatening regional banks, Bitcoin, Ethereum, and other crypto networks didn’t skip a beat. Instability in the banking system threatened stablecoins, the on-ramps to DeFi, in stark contrast to regulator rhetoric",0.04205433279275894,0.7939532995223999,0.16399241983890533,0.6202526812123599
18,18,2023-03-14,Take that back… 😏 https://t.co/2L4JWYEbPw,0.02538369596004486,0.049008991569280624,0.9256073236465454,2.4409367616369937
19,19,2023-03-14,"Crazy day, #3 trending?  Ya’ll crazy https://t.co/q9sF5kBBhM",0.07481551170349121,0.06508300453424454,0.8601015210151672,2.524331267016706
20,20,2023-03-14,"I dumped a live Ethereum contract into GPT-4. 

In an instant, it highlighted a number of security vulnerabilities and pointed out surface areas where the contract could be exploited. It then verified a specific way I could exploit the contract https://t.co/its5puakUW",0.10605420917272568,0.02033999003469944,0.8736057877540588,2.714285550639031
21,21,2023-03-13,"Given the changes in stable coins and banks, #Binance will convert the remaining of the $1 billion Industry Recovery Initiative funds from BUSD to native crypto, including #BTC, #BNB and ETH. Some fund movements will occur on-chain. Transparency.",0.05774296820163727,0.01012028381228447,0.9321367144584656,2.6190567149650694
22,22,2023-03-12,"Holy shit someone on Coinbase is buying spot like their life depends on it.

$BTC $ETH https://t.co/A6ZBgFqOTB",0.05885646492242813,0.023496588692069054,0.9176469445228577,2.588399690740555
23,23,2023-03-11,"You can't put your money in a bank
You can't put your money in stablecoins
You can't keep it in cash because of inflation
You can put it in ETH/BTC but ngl they both feel precarious here

Where tf do you keep your money lmao!?",0.03104277327656746,0.34249329566955566,0.6264639496803284,1.7213737085205743
24,24,2023-03-10,"I will follow back every single NFT PFP

I might also be BLESSING randoms that comment their ENS/ETH addy with a DeFi Ape @apefinfts @machibigbrother https://t.co/LT33XA4fyx",0.053795840591192245,0.018921110779047012,0.9272831082344055,2.5871868193336236
25,25,2023-03-10,"If you hold USDC do you:

A) Swap to USD &amp; withdraw to bank (are they solvent next week?)
B) Swap to major (ETH/BTC) &amp; take market risk
C) Hold USDC

Everyone in crypto is doing this calculation rn",0.027452902868390083,0.03147859871387482,0.9410684704780579,2.4899357601050967
26,26,2023-03-09,"If you’re keeping score: 

White House announces plan to add a 30% tax to energy used to mine $BTC or any other digital asset. 

NYAG sues KuCoin and dubs $ETH a security. 

Elizabeth Warren celebrates the Silvergate $SI bank run and liquidation. 

Gensler pens op-ed and tweet…",0.03327100723981857,0.1678246408700943,0.798904299736023,2.1636158983805127
27,27,2023-03-09,JUST IN: 🇺🇸 New York says #Ethereum is a security in KuCoin lawsuit.,0.03547185659408569,0.08879344165325165,0.8757346868515015,2.366696035365701
28,28,2023-03-09,"My 1 → 100 ETH journey is officially done.

I want to do a quick recap, tell you how I have done it and give some tips for your own trading journey 🧵👇

(1/18) https://t.co/PSd66TO0u7",0.05988478660583496,0.0172719769179821,0.9228432178497314,2.6065320262039458
29,29,2023-03-06,"https://t.co/tyQE8i8y5h test net v3 will be the 4th time, IIRC, that you've gotten free, valueless PulseChain, PulseX and all the rest of the coins on #Ethereum. It's great getting to use and enjoy what you hoped you would. The mainnet should be the most fun I think :) FREE COINS",0.1406330168247223,0.010780411772429943,0.8485866189002991,2.8246314972115623
30,30,2023-03-03,"100,000 BEASTS! 🎉
Who's ready to party? 👀

Tag 2 Beasts + Let us know where the 3 of you would party together in the comments. 🌎 

We're going to raffle off 3 Beasts to party with your crew and 1 ETH for the night out! 🎁 https://t.co/ZviUdSXiqB",0.0552351288497448,0.018555307760834694,0.926209568977356,2.5916995522098643
31,31,2023-03-03,ETH has gone full retard. https://t.co/Sz9YQcKM0J,0.028499294072389603,0.734348714351654,0.23715196549892426,0.7353764032856928
32,32,2023-03-03,"Sold all my $eth 😭 

 https://t.co/T3mPZnJtvT",0.06237482279539108,0.019167058169841766,0.9184581637382507,2.6080194067350293
33,33,2023-03-01,"Sorteo 300 usdt . Dos ganadores c/u 150 usdt. 

Requisitos

1) Retweet a esta publicación 
2) darle like a la publicación 
3) seguirme en instagram

https://t.co/K2mjC1qPue

Sorteo el viernes 3 de marzo

#BTC #ETH #SP500 

Exitos ♥️♥️",0.11598530411720276,0.025479143485426903,0.8585355281829834,2.726265407058318
34,34,2023-02-27,"NFTs and crypto gaming will likely find mass adoption in crypto before Bitcoin/currency does.

We could see an entire bull run that is simply gaming and NFT tech. 

It could also be bigger than BTC and ETH.

Remember all of crypto is not even the market cap of Microsoft.",0.06232806295156479,0.015172920189797878,0.9224990010261536,2.617887858770875
35,35,2023-02-27,"I have agreed to sell the key for 1000 ETH to @AdamWeitsman. Super nice guy and thrilled the sale went through with him.

A special thank you to @yugalabs for hosting an incredible competition.  I look forward to competing in future events.  Royalties will be paid in full.
1/2",0.3987313210964203,0.010175657458603382,0.5910930037498474,3.471389176283399
36,36,2023-02-27,"someone bid 999 ETH, $1,600,000USD on a digital key that came out of a digital monkeys ass and nobody knows what it does

someone else is not clicking ""accept offer"" immediately https://t.co/a5Tv7yAwRT",0.02964784763753414,0.03326897695660591,0.9370831251144409,2.490947176247041
37,37,2023-02-26,"One of the most mysterious addresses in all of crypto:
-Bought $75k worth of ETH at the ICO in '14
-Completely untouched wallet; has never made a single transaction 
-Wallet now worth $400M+, a 5333x
-Received $6.5M in airdrops just by hodling (a 87x on initial investment alone) https://t.co/wBpw9pQcAB",0.05527638643980026,0.02358092926442623,0.9211426973342896,2.5792386419052806
38,38,2023-02-26,"Top 10 cryptocurrencies by market cap (excluding stablecoins) 

1. #Bitcoin $449B
2. #Ethereum $194B
3. #BNB $48.3B
4. #XRP $19.3B 
5. #Cardano $12.7B
6. #Polygon $11.5B 
7. #Dogecoin $11.3B 
8. #Solana $8.6B 
9. #Polkadot $7.9B 
10. #ShibaInu $7.4B",0.029570525512099266,0.027456918731331825,0.9429724812507629,2.5052840173456086
39,39,2023-02-25,"The largest #NFT dump ever.

In the past 48 hours Machi has sold 1,010 NFTs, including:

90 #BAYC for 5707 $ETH 
191 #MAYC for 3091 #ETH
112 #Azuki for 1644 ETH
308 #Otherdeed for 582 ETH https://t.co/uYgHxlQxRH",0.040685657411813736,0.02254502847790718,0.9367693066596985,2.545351572672662
40,40,2023-02-24,FUN FACT: Ethereum $ETH energy consumption fell 99.99% following its merge to proof-of-stake.,0.007865013554692268,0.9740003347396851,0.018134644255042076,0.0846616790418452
41,41,2023-02-23,I know Man United won the match but Araujo needs to come and explain how he pocketed the most in form player in Europe til ETH removed him 😭😭,0.13829568028450012,0.04377757012844086,0.8179267644882202,2.736295271869074
42,42,2023-02-23,ETH has showed us in a short space of time you can have an impact on your team. Wish Potter showed us at least half of what ETH has at United man,0.17772212624549866,0.009738396853208542,0.8125394582748413,2.9199593313030774
43,43,2023-02-23,"1/ Today, Coinbase is launching @BuildOnBase, an Ethereum layer 2 that will help improve scalability and usability of crypto, so we can bring economic freedom to 1B+ people.",0.7327972054481506,0.00823639240115881,0.2589663863182068,4.311402061296473
44,44,2023-02-23,"Coinbase is launching a Layer 2.

Coinbase has 110 million users.

They're going to onboard them all to Ethereum.

This is a massive day for Ethereum.

This is how the world goes bankless.",0.044472649693489075,0.02716256119310856,0.9283648133277893,2.543275220203068
45,45,2023-02-23,"1/ 🔵 We’re excited to announce @BuildOnBase.

Base is an Ethereum L2 that offers a secure, low-cost, developer-friendly way for anyone, anywhere, to build decentralized apps. 

Our goal with Base is to make onchain the next online and onboard 1B+ users into the cryptoeconomy. https://t.co/RmwZFJzGGs",0.5114062428474426,0.008262337185442448,0.4803314507007599,3.7578597254963864
46,46,2023-02-23,"0/ 🔵 Hello world. 

Meet Base, an Ethereum L2 that offers a secure, low-cost, developer-friendly way for anyone, anywhere, to build decentralized apps. 

Our goal with Base is to make onchain the next online and onboard 1B+ users into the cryptoeconomy.

https://t.co/Znuu3o3pJw",0.2677224576473236,0.007649437990039587,0.7246280908584595,3.1501825579233906
47,47,2023-02-22,"For the first time ever, Arbitrum One processed more transactions than Ethereum 

This is a huge milestone achieved by our team and Arbinauts. We've come a long way as a community and we're grateful to have you along with us! 

Our mission to scale Ethereum continues! 💙🧡 https://t.co/hHCCCH3JTl",0.7452391386032104,0.008189050480723381,0.24657180905342102,4.3426252237383745
48,48,2023-02-18,"Get up to 0.1 ETH for minting! Free mint. 

0% royalties, No Discord, No collabs, No bullshit. 

Are you ready? Let me WL some of you👀  @wehavenohandle",0.08070648461580276,0.013674029149115086,0.9056195616722107,2.66758112602488
49,49,2023-02-17,"China Coin Narrative is here. Some of my favorites

- $FIL (恭喜FIL財)
- $DOT
- $VET
- $EOS
- $ICP
- $KLAY (actually Korean, but it might get confused)
- $BNB (People always mistake CZ for Chinese Citizen)
- $ETH (Vitalik has had multiple Chinese GFs)",0.03918668255209923,0.035727471113204956,0.9250858426094055,2.508648028629452
50,50,2023-02-17,GM to everyone who knows what the first ape PFP project really was https://t.co/aFBslyxR6k,0.03573641553521156,0.017834337428212166,0.9464291930198669,2.544755197685027
51,51,2023-02-15,EtH sadar gak sih kalau dia itu Manajer klub paling terkenal di dunia 😭 https://t.co/Si14vE6tQV,0.03381236270070076,0.02713114582002163,0.9390565156936646,2.516703041797244
52,52,2023-02-13,"To Celebrate our Launch Day 

$10,000 in $BLUR to the first 1,111 people who follows and retweets

 Drop your $ETH wallet address for Bonus Entry https://t.co/AqMDrTp33x",0.033699385821819305,0.03328799456357956,0.9330126047134399,2.501028478160925
53,53,2023-02-11,"JUST IN: #Ethereum founder Vitalik Buterin donates 99 $ETH ($150,000) to support victims of the Turkey-Syria earthquake.",0.2834228575229645,0.01378876157104969,0.7027884125709534,3.1740852185349
54,54,2023-02-10,"So let me get this straight

Ppl took the art from CryptoPunks (tokenized on ETH in 2017)

And paid a Bitcoin miner to inscribe it as an Ordinal on Bitcoin in 2023

And are now wrapping the Bitcoin Ordinals as @EmblemVault assets on ETH

In order to sell them for ETH on @opensea https://t.co/gsUXdNiOLs",0.04001648724079132,0.01629771664738655,0.94368577003479,2.5592969280298
55,55,2023-02-09,"My wife has a crypto Twitter account that I run. She knows nothing about crypto, and I make all the posts for her and get her to take pics from time to time. Simps just send her Eth for no reason. We have just booked an African safari paid entirely by crypto people.",0.030421381816267967,0.04898735135793686,0.9205912351608276,2.4535850746761008
56,56,2023-02-08,"Just acquired these 7 @OrdinalPunks for a total of 15.2 BTC (211 ETH)

Punk 27 (inscription #444)
Punk 48 (ins #483)
Punk 73 (ins #599)
Punk 80 (ins #606)
Punk 88 (ins #614)
Punk 91 (ins #617)
Punk 92 (ins #618)

If you haven't looked into Ordinal NFTs on BTC yet, you should, now https://t.co/MhD1WKjPfA",0.038224030286073685,0.022289453074336052,0.9394864439964294,2.5398364459231892
